D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,0910,F,MURDER OF AN UNBORN CHILD,14-23.2(A),20111201,99999999,A,20111201,99999999,No,20111201,0,
 ,0915,F,VOL MANSLAUGHTER UNBORN CHILD,14-23.3(A),20111201,99999999,D,20111201,99999999,No,20111201,0,
 ,0916,F,INV MANSLAUGHTER UNBORN CHILD,14-23.4(A),20111201,99999999,F,20111201,99999999,No,20111201,0,
 ,0920,F,VOLUNTARY MANSLAUGHTER,14-18,00000000,99999999,E,19941001,19971130,No,19971130,1,
 ,0920,F,VOLUNTARY MANSLAUGHTER,14-18,00000000,99999999,D,19971201,99999999,No,19971201,0,
 ,0921,F,DEATH BY DISTRIB DELIV,14-18.4(A1),20231201,99999999,C,20231201,99999999,No,20231201,0,
 ,0922,F,INVOLUNTARY MANSLAUGHTER,14-18,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,0923,F,DEATH BY DISTRIB DELIV MALICE,14-18.4(A2),20231201,99999999,B2,20231201,99999999,No,20231201,0,
 ,0924,F,DEATH BY DISTRIB SALE,14-18.4(B),20231201,99999999,B2,20231201,99999999,No,20231201,0,
 ,0930,F,MURDER,14-17,00000000,99999999,A/B1/B2,19941001,99999999,No,19941001,0,
 ,0931,F,SECOND DEG MURDER W/O REGARD,14-17(B),20231201,99999999,B2,20231201,99999999,No,20231201,0,
 ,0935,F,FIRST DEGREE MURDER,14-17,00000000,99999999,A,19941001,99999999,No,19941001,0,
 ,0940,F,SECOND DEGREE MURDER,14-17,00000000,20121130,B2,19941001,20121130,No,20121130,1,
*,0941,F,ATTEMPTED SECOND DEGREE MURDER,14-17,20020105,20021222,C,20020105,20021222,No,20021222,1,
 ,0942,F,SECOND DEG MURDER W/O REGARD,14-17(B)(1),20121201,20231130,B2,20121201,20231130,No,20231130,1,
 ,0943,F,SECOND DEG MURDER DIST DRUG,14-17(B)(2),20121201,20231130,B2,20121201,20231130,No,20231130,1,
 ,0944,F,SECOND DEGREE MURDER,14-17(B),20121201,99999999,B1,20121201,99999999,No,20121201,0,
*,0945,F,SOLICITATION TO COMMIT MURDER,COMMON LAW,00000000,19941003,E,19941001,19941003,No,19941003,1,
*,0950,F,ATTEMPTED MURDER,COMMON LAW,00000000,20020104,A/B1/B2,19941001,99999999,No,20020104,1,
 ,0951,F,ATTEMPTED FIRST DEGREE MURDER,COMMON LAW,20020105,99999999,B2,20020105,99999999,No,20020105,0,
 ,0952,F,DEATH BY DISTRIBUTION,14-18.4(B),20191201,20231130,C,20191201,20231130,No,20231130,1,
 ,0953,F,DEATH BY DISTRIBUTION/AGG,14-18.4(C),20191201,99999999,B2,20191201,20231130,No,20231130,1,
 ,0953,F,DEATH BY DISTRIBUTION/AGG,14-18.4(C),20191201,99999999,B1,20231201,99999999,No,20231201,0,
*,0955,F,SOLICITATION TO COMMIT MURDER,14-18.1,00000000,19961130,Blank, , ,No,19961130,1,
 ,0956,F,CONCEAL/FAIL REPORT DEATH,14-401.22(A),20051201,99999999,I,20051201,99999999,No,20051201,0,
 ,0957,M,A&A CONCEAL/FAIL REPORT DEATH,14-401.22(B),20051201,99999999,A1,20051201,99999999,No,20051201,0,
 ,0958,F,DISTURB HUMAN REMAINS,14-401.22(C),20111201,99999999,I,20111201,99999999,No,20111201,0,
 ,0960,F,DESTROY REMAINS CONCEAL DEATH,14-401.22(D),20111201,99999999,H,20111201,99999999,No,20111201,0,
 ,0961,F,DEST BODY/REM CONC UNNAT DEATH,14-401.22(E),20111201,99999999,D,20111201,99999999,No,20111201,0,
 ,0962,F,CONCL/FAIL REPORT DEATH CHILD,14-401.22(A1),20131201,99999999,H,20131201,99999999,No,20131201,0,
 ,0999,Free Text,HOMICIDE - FREE TEXT, ,00000000,99999999,??,19941001,99999999,No,19941001,2,
 ,1020,F,KIDNAPPING,14-39,00000000,99999999,C/E,19941001,99999999,No,19941001,0,
*,1022,F,ABDUCTION OF MARRIED WOMAN,14-43,00000000,19941003,Blank, , ,No,19941003,1,
 ,1023,F,ABDUCTION OF CHILDREN,14-41,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,1024,F,CONSPIRING TO ABDUCT CHILDREN,14-42,00000000,20020524,Blank, , ,No,20020524,1,
 ,1026,F,FIRST DEGREE KIDNAPPING,14-39,00000000,99999999,C,19941001,99999999,No,19941001,0,
 ,1028,F,SECOND DEGREE KIDNAPPING,14-39,00000000,99999999,E,19941001,99999999,No,19941001,0,
 ,1030,F,FELONIOUS RESTRAINT,14-43.3,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,1031,F,TAKING HOSTAGE BY PRISONER,14-258.3,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,1032,F,ATTEMPTED KIDNAPPING,COMMON LAW,00000000,99999999,D/F,19941001,99999999,No,19941001,0,
 ,1040,M,FALSE IMPRISONMENT,COMMON LAW,00000000,99999999,1,19941001,99999999,No,19941001,0,
 ,1099,Free Text,KIDNAPPING - FREE TEXT, ,00000000,99999999,??,19941001,99999999,No,19941001,2,
 ,1101,F,ATT STAT RAPE OF CHILD <=15,14-27.25(A),20240301,99999999,B2,20240301,99999999,No,20240301,0,
 ,1102,F,ATT STAT RAPE OF CHILD <=15,14-27.25(B),20240301,99999999,D,20240301,99999999,No,20240301,0,
 ,1103,F,FIRST DEGREE RAPE,14-27.2(A),00000000,20151130,B1,19941001,20151130,No,20151130,1,
